Izvestaj o ispitivanju materijala u mehanickoj laboratoriji 

OPŠTI PODACI
Operator : S.Stevanovic 
Br. zb. izveštaja : 21.07.2020
Br. uzorka : 400/1
Šarža : 400
Radni nalog : 
Naručilac : livnica

USLOVI ISPITIVANJA
Standard : SRPS EN 
Metoda : B
Standard za n : 
Mašina : P20 SSSR
Temperatura : 20
Ekstenziometar : NE

MATERIJAL ISPITIVANJA
Proizvodjač : 
Dobavljač : LIVNICA
Polazni kvalitet : g22
Nazivna debljina : 
Način prerade : Vučeni

EPRUVETA
Oblik : Obradjena
Tip : Proporcionalna
k : 5.65
Vrsta epruvete : Kružni
S0 : 78.697
L0 : 50.00
Lc : 61.81

POLOŽAJ EPRUVETE U ODNOSU NA
Pravac valjanja : 
Širina trake : 
Dužina trake : 


Napomena : 


Broj zapisa :  
Sila	a   
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
	0
000846	0
000846	0
000846	0
46	0
000846	0
000846	0
000846	0
00846	0
000846	0
000846	0
000846	0
000846	0
6	0
000846	0
000846	0
000846	0
000846	0
846	0
846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
46	0
000846	0
000846	0
000846	0
000846	0
00846	0
000846	0
000846	0
000846	0
000846	0
000846	0
	0
000846	0
000846	0
000846	0
000846	0
846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
46	0
000846	0
000846	0
000846	0
0846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
00846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
6	0
000846	0
000846	0
000846	0
000846	0
0846	0
000846	0
000846	0
000846	0
000846	0
000846	0
	0
000846	0
000846	0
000846	0
46	0
000846	0
000846	0
000846	0
00846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
6	0
000846	0
000846	0
000846	0
000846	0
846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
46	0
000846	0
000846	0
000846	0
00846	0
000846	0
000846	0
000846	0
000846	0
000846	0
6	0
000846	0
000846	0
000846	0
000846	0
846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
46	0
000846	0
000846	0
000846	0
000846	0
0846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
	0
000846	0
000846	0
000846	0
846	0
000846	0
000846	0
000846	0
000846	0
00846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
6	0
000846	0
000846	0
000846	0
000846	0
0846	0
000846	0
000846	0
000846	0
000846	0
000846	0
	0
000846	0
000846	0
000846	0
000846	0
46	0
000846	0
000846	0
000846	0
000846	0
00846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
6	0
000846	0
000846	0
000846	0
846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
000846	0
46	0
000846	0
000846	0
000846	0
000846	0
00846	0
000846	0
000846	0
000846	0
000846	0
000846	0
	0
000846	0
000846	0
000846	0
000846	0
848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
48	0
000848	0
000848	0
000848	0
000848	0
0848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
848	0
000848	0
000848	0
000848	0
00848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
8	0
000848	0
000848	0
000848	0
0848	0
000848	0
000848	0
000848	0
000848	0
000848	0
	0
000848	0
000848	0
000848	0
48	0
000848	0
000848	0
000848	0
000848	0
00848	0
000848	0
000848	0
000848	0
000848	0
000848	0
8	0
000848	0
000848	0
000848	0
000848	0
848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000848	0
48	0
000848	0
000848	0
00848	0
00848	0
000848	0
000848	0
000848	0
000848	0
000848	0
8	0
000848	0
000848	0
000848	0
000848	0
848	0
000848	0
000848	0
000848	0
000848	0
000848	0
000850	0
000850	0
000850	0
000850	0
000850	0
50	0
000850	0
000850	0
000850	0
000850	0
0850	0
000850	0
000850	0
000850	0
000850	0
000850	0
000850	0
	0
000850	0
000850	0
000850	0
000852	0
852	0
000852	0
000852	0
000852	0
000852	0
00852	0
000852	0
000852	0
000852	0
000852	0
000852	0
2	0
000852	0
000852	0
000852	0
000852	0
000854	0
000854	0
000854	0
000854	0
000854	0
000854	0
	0
000854	0
000856	0
000856	0
000858	1
58	1
000860	2
000864	3
000864	4
00868	4
000870	5
000874	6
000876	7
000878	8
000880	9
000884	10
4	11
000888	12
000890	13
000892	14
000894	15
0896	16
000898	17
000902	18
000902	19
000904	21
000908	22
000910	23
000910	24
000914	25
000916	26
000918	27
20	28
000922	30
000926	31
000926	32
000928	33
00930	34
000932	35
000934	37
000936	38
000938	39
000938	40
000942	42
4	43
000946	44
000948	46
000948	47
000950	48
952	50
000956	52
000956	54
000958	55
000962	57
000962	58
000962	59
000964	61
000968	63
000970	64
70	65
000972	67
000974	68
000976	70
000978	71
0978	72
000980	74
000982	75
000984	77
000986	78
000986	79
000988	81
	82
000992	83
000994	85
000994	86
000996	88
000996	89
001002	91
001002	92
001004	94
01004	95
001008	96
001008	98
001010	99
001012	101
001012	102
001014	103
6	105
001018	106
001018	108
001020	109
001022	111
1022	112
001024	113
001026	114
001026	115
001028	117
001030	118
001030	119
001034	121
001036	122
001036	123
001038	125
38	126
001040	127
001042	129
001042	130
001044	131
01044	133
01044	135
001046	136
001048	137
001048	139
001050	140
001050	142
2	143
001054	146
001054	147
001056	149
1056	151
001056	152
001058	154
001060	155
001060	157
001060	158
001060	159
001062	161
001064	162
001064	164
001064	165
66	167
001066	168
001068	170
001068	171
001068	172
01070	174
001070	175
001070	177
001072	178
001072	179
001072	181
001072	182
4	183
001074	184
001076	183
001076	184
078	186
078	187
001078	188
001078	190
001078	191
001078	193
001080	194
001080	196
001080	197
001080	199
001078	201
001078	202
78	203
001078	205
001078	206
