Aplikacija ukljucena        (14-Nov-16 12:12:06 PM)
Error in the application.[OnlineMode.xaml.cs] {private void StartStream()}        (14-Nov-16 12:22:13 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (14-Nov-16 12:22:15 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (14-Nov-16 12:22:15 PM)
Error in the application.[OnlineMode.xaml.cs] {private void StartStream()}        (14-Nov-16 12:23:00 PM)
Error in the application.[OnlineMode.xaml.cs] {private void StartStream()}        (14-Nov-16 12:25:24 PM)
Aplikacija iskljucena        (14-Nov-16 12:26:01 PM)
Aplikacija ukljucena        (14-Nov-16 12:27:56 PM)
Aplikacija ukljucena        (14-Nov-16 12:27:59 PM)
Access to the port 'COM19' is denied.[OnlineMode.xaml.cs] {public OnlineMode(bool simulationM = false)}        (14-Nov-16 12:28:00 PM)
Error in the application.[OnlineMode.xaml.cs] {private void StartStream()}        (14-Nov-16 12:31:19 PM)
Error in the application.[OnlineMode.xaml.cs] {private void StartStreamWithEkstenziometar()}        (14-Nov-16 12:31:32 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (14-Nov-16 12:31:33 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (14-Nov-16 12:31:33 PM)
Aplikacija iskljucena        (14-Nov-16 12:31:42 PM)
Aplikacija iskljucena        (14-Nov-16 12:31:51 PM)
Aplikacija ukljucena        (14-Nov-16 12:34:35 PM)
Aplikacija ukljucena        (14-Nov-16 12:34:39 PM)
Access to the port 'COM19' is denied.[OnlineMode.xaml.cs] {public OnlineMode(bool simulationM = false)}        (14-Nov-16 12:34:39 PM)
The process cannot access the file 'C:\Users\Lab Control\Documents\Visual Studio 2010\Projects\programi\ljig\kidalica\2016\15 februar 2016 v1\testTensileMachineGraphics\bin\Release\configuration\lastOnlineHeader.xml' because it is being used by another process.[OnlineMode.xaml.cs] {private void writeXMLLastOnlineHeader()}        (14-Nov-16 12:34:40 PM)
The process cannot access the file 'D:\kidalicaMetal\Arhiva\113_1.inputoutput' because it is being used by another process.[GraphicPlotting.xaml.cs] {private double findMinReLOnly(out int indexOfmin)}        (14-Nov-16 12:34:40 PM)
The process cannot access the file 'D:\kidalicaMetal\Arhiva\113_1.inputoutput' because it is being used by another process.[GraphicPlotting.xaml.cs] {private double findMinReLOnly(out int indexOfmin)}        (14-Nov-16 12:34:40 PM)
Error in the application.[OnlineMode.xaml.cs] {private void StartStream()}        (14-Nov-16 12:36:12 PM)
Error in the application.[OnlineMode.xaml.cs] {private void StartStreamWithEkstenziometar()}        (14-Nov-16 12:36:26 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (14-Nov-16 12:36:28 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (14-Nov-16 12:36:28 PM)
Aplikacija iskljucena        (14-Nov-16 12:49:32 PM)
Aplikacija iskljucena        (14-Nov-16 12:49:41 PM)
