Aplikacija ukljucena        (19-Nov-16 9:36:36 AM)
Aplikacija iskljucena        (19-Nov-16 9:37:06 AM)
Aplikacija ukljucena        (19-Nov-16 9:37:31 AM)
Aplikacija iskljucena        (19-Nov-16 9:37:37 AM)
Aplikacija ukljucena        (19-Nov-16 9:37:51 AM)
Aplikacija iskljucena        (19-Nov-16 9:38:17 AM)
Aplikacija ukljucena        (19-Nov-16 9:45:41 AM)
Aplikacija iskljucena        (19-Nov-16 9:45:47 AM)
Aplikacija ukljucena        (19-Nov-16 9:46:08 AM)
Aplikacija iskljucena        (19-Nov-16 9:50:01 AM)
Aplikacija ukljucena        (19-Nov-16 9:50:40 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:56:49 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:56:50 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:56:50 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:56:51 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:56:51 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:56:55 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:56:55 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:56:59 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:57:00 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:57:02 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:57:04 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:57:04 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:57:09 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:57:16 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:57:17 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:57:20 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (19-Nov-16 9:57:25 AM)
Aplikacija iskljucena        (19-Nov-16 9:59:35 AM)
Aplikacija ukljucena        (11/19/2016 11:33:55 AM)
Object reference not set to an instance of an object.[ConditionsOfTesting.xaml.cs] {private void rbtnNo_Checked(object sender, RoutedEventArgs e)}        (11/19/2016 11:37:35 AM)
Aplikacija iskljucena        (11/19/2016 11:38:12 AM)
Aplikacija ukljucena        (11/19/2016 11:38:21 AM)
Aplikacija iskljucena        (11/19/2016 11:38:44 AM)
Aplikacija ukljucena        (11/19/2016 11:40:48 AM)
Aplikacija iskljucena        (11/19/2016 11:40:50 AM)
Aplikacija ukljucena        (11/19/2016 11:42:13 AM)
Aplikacija iskljucena        (11/19/2016 11:42:50 AM)
Aplikacija ukljucena        (11/19/2016 11:43:26 AM)
Aplikacija iskljucena        (11/19/2016 11:43:28 AM)
Aplikacija ukljucena        (11/19/2016 11:50:25 AM)
Aplikacija iskljucena        (11/19/2016 11:53:31 AM)
Aplikacija ukljucena        (11/19/2016 11:55:25 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 11:59:27 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 11:59:27 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine2()}        (11/19/2016 11:59:27 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 11:59:28 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 11:59:30 AM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 11:59:30 AM)
